Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Return_Quantity,Return_Rate,Is_Returned,Discount_Ratio
ORD00000015,PROD00000015,USER00000015,2024-10-02,2023-12-04,High,370.08,2,Wrong item,Returned,-303,24,Female,City27,Credit Card,Standard,23.99,2,1.0,1,0.1296476437527021
ORD00000016,PROD00000016,USER00000016,2024-05-09,,High,311.08,1,,Not Returned,,52,Female,City77,PayPal,Standard,6.66,,,0,0.02140928378552141
ORD00000017,PROD00000017,USER00000017,2023-02-03,2023-06-03,High,400.12,1,Defective,Returned,120,33,Male,City33,PayPal,Standard,18.25,1,1.0,1,0.04561131660501849
ORD00000018,PROD00000018,USER00000018,2024-10-07,2023-03-18,High,358.31,1,Changed mind,Returned,-569,51,Female,City43,PayPal,Standard,11.84,1,1.0,1,0.03304401216823421
ORD00000019,PROD00000019,USER00000019,2024-07-06,2024-05-01,Medium,227.94,5,Changed mind,Returned,-66,50,Female,City64,Debit Card,Express,43.86,5,1.0,1,0.9620952882337457
ORD00000020,PROD00000020,USER00000020,2023-07-03,,Low,6.14,1,,Not Returned,,31,Female,City70,Credit Card,Next-Day,47.47,,,0,7.7312703583061895
ORD00000021,PROD00000021,USER00000021,2024-02-28,2023-01-06,Low,85.69,2,Changed mind,Returned,-418,30,Female,City26,Debit Card,Standard,24.58,2,1.0,1,0.5736958804994748
ORD00000022,PROD00000022,USER00000022,2024-07-13,2023-09-13,Medium,227.2,5,Wrong item,Returned,-304,65,Female,City90,Gift Card,Next-Day,27.94,5,1.0,1,0.6148767605633804
ORD00000023,PROD00000023,USER00000023,2024-07-01,2024-01-24,Low,57.14,2,Wrong item,Returned,-159,41,Female,City28,Gift Card,Standard,43.06,2,1.0,1,1.5071753587679384
ORD00000024,PROD00000024,USER00000024,2024-07-27,,Medium,274.29,2,,Not Returned,,18,Male,City84,Gift Card,Express,2.49,,,0,0.01815596631302636
ORD00000025,PROD00000025,USER00000025,2024-11-22,,High,371.15,5,,Not Returned,,58,Female,City83,Gift Card,Standard,18.68,,,0,0.251650276168665
ORD00000026,PROD00000026,USER00000026,2023-03-05,,Medium,232.97,5,,Not Returned,,21,Female,City98,Debit Card,Express,9.85,,,0,0.21140060952053913
ORD00000027,PROD00000027,USER00000027,2024-05-26,,High,455.82,1,,Not Returned,,52,Female,City10,PayPal,Express,11.96,,,0,0.026238427449431796
ORD00000028,PROD00000028,USER00000028,2024-05-15,2024-09-05,Medium,106.6,5,Defective,Returned,113,53,Male,City69,Credit Card,Standard,18.42,5,1.0,1,0.8639774859287055
ORD00000029,PROD00000029,USER00000029,2024-04-06,,High,317.9,5,,Not Returned,,59,Female,City32,Gift Card,Standard,18.05,,,0,0.2838943063856559
ORD00000030,PROD00000030,USER00000030,2023-05-02,,High,413.34,3,,Not Returned,,49,Male,City55,Credit Card,Standard,38.29,,,0,0.27790680795471046
ORD00000031,PROD00000031,USER00000031,2023-12-09,,High,481.73,5,,Not Returned,,28,Female,City79,Credit Card,Next-Day,20.03,,,0,0.2078965395553526
ORD00000032,PROD00000032,USER00000032,2024-06-30,,High,308.89,4,,Not Returned,,68,Female,City47,Debit Card,Express,35.45,,,0,0.459063096895335
ORD00000033,PROD00000033,USER00000033,2024-02-03,2023-08-18,High,335.28,4,Wrong item,Returned,-169,18,Male,City20,Debit Card,Next-Day,25.37,4,1.0,1,0.30267239322357437
ORD00000034,PROD00000034,USER00000034,2023-09-07,,Medium,290.49,3,,Not Returned,,34,Male,City42,PayPal,Next-Day,8.51,,,0,0.08788598574821853
ORD00000035,PROD00000035,USER00000035,2024-07-23,,High,331.26,2,,Not Returned,,46,Female,City95,PayPal,Standard,41.02,,,0,0.2476604479864759
ORD00000036,PROD00000036,USER00000036,2024-01-07,2023-08-29,Medium,115.82,5,Defective,Returned,-131,54,Female,City43,Credit Card,Express,23.76,5,1.0,1,1.0257295803833535
ORD00000037,PROD00000037,USER00000037,2023-02-11,2024-05-10,Medium,246.15,1,Wrong item,Returned,454,31,Female,City62,Gift Card,Standard,23.63,1,1.0,1,0.09599837497460897
ORD00000038,PROD00000038,USER00000038,2023-02-17,,Low,43.82,2,,Not Returned,,28,Female,City11,Credit Card,Next-Day,14.6,,,0,0.6663623916020082
ORD00000039,PROD00000039,USER00000039,2024-10-27,2024-10-19,Medium,266.34,4,Wrong item,Returned,-8,44,Female,City60,PayPal,Standard,30.88,4,1.0,1,0.463768115942029
ORD00000040,PROD00000040,USER00000040,2023-03-21,,High,351.52,1,,Not Returned,,46,Male,City42,PayPal,Next-Day,11.58,,,0,0.03294264906690943
ORD00000041,PROD00000041,USER00000041,2024-01-03,2023-01-15,High,334.27,4,Changed mind,Returned,-353,69,Male,City81,PayPal,Express,43.44,4,1.0,1,0.5198193077452359
ORD00000042,PROD00000042,USER00000042,2024-02-10,,Medium,240.65,2,,Not Returned,,33,Female,City61,Gift Card,Standard,12.93,,,0,0.10745896530230625
ORD00000043,PROD00000043,USER00000043,2024-05-23,2024-06-05,Medium,105.7,3,Wrong item,Returned,13,44,Male,City41,Credit Card,Next-Day,42.07,3,1.0,1,1.1940397350993377
ORD00000044,PROD00000044,USER00000044,2024-10-10,,Medium,188.76,3,,Not Returned,,66,Female,City12,Gift Card,Standard,12.68,,,0,0.20152574698029246
ORD00000045,PROD00000045,USER00000045,2023-11-15,2023-02-05,Medium,294.18,2,Changed mind,Returned,-283,69,Male,City89,Gift Card,Next-Day,32.7,2,1.0,1,0.22231286967162964
ORD00000046,PROD00000046,USER00000046,2023-05-22,2024-03-09,Low,97.31,2,Changed mind,Returned,292,53,Female,City49,Debit Card,Next-Day,10.96,2,1.0,1,0.22525948001233173
ORD00000047,PROD00000047,USER00000047,2024-10-23,2024-03-22,High,335.96,2,Wrong item,Returned,-215,63,Male,City5,Credit Card,Standard,19.05,2,1.0,1,0.11340635789974998
ORD00000048,PROD00000048,USER00000048,2024-04-19,2023-11-16,High,344.31,4,Not as described,Returned,-155,36,Male,City68,Credit Card,Express,10.99,4,1.0,1,0.12767564113734717
ORD00000049,PROD00000049,USER00000049,2024-03-14,,Medium,297.62,4,,Not Returned,,52,Male,City53,Credit Card,Express,16.9,,,0,0.22713527316712584
ORD00000050,PROD00000050,USER00000050,2023-06-14,2024-07-21,Low,23.6,1,Defective,Returned,403,37,Female,City12,Credit Card,Next-Day,6.53,1,1.0,1,0.2766949152542373
ORD00000051,PROD00000051,USER00000051,2024-03-27,,High,495.34,3,,Not Returned,,46,Female,City50,Debit Card,Express,43.34,,,0,0.2624863729963258
ORD00000052,PROD00000052,USER00000052,2024-02-22,,Low,49.47,2,,Not Returned,,53,Female,City46,Credit Card,Express,38.09,,,0,1.539923185769153
ORD00000053,PROD00000053,USER00000053,2024-03-12,2023-05-21,High,359.9,3,Defective,Returned,-296,55,Female,City23,Debit Card,Standard,3.01,3,1.0,1,0.025090302861906087
ORD00000054,PROD00000054,USER00000054,2023-02-12,,Medium,283.79,2,,Not Returned,,42,Male,City76,Debit Card,Next-Day,30.81,,,0,0.21713238662391202
ORD00000055,PROD00000055,USER00000055,2023-04-30,2023-04-11,High,352.93,4,Changed mind,Returned,-19,34,Male,City31,Gift Card,Express,22.83,4,1.0,1,0.2587481936928002
ORD00000056,PROD00000056,USER00000056,2024-02-04,,High,353.51,4,,Not Returned,,39,Female,City24,Debit Card,Standard,17.72,,,0,0.20050352182399367
ORD00000057,PROD00000057,USER00000057,2024-09-22,2023-09-10,High,301.68,2,Changed mind,Returned,-378,47,Male,City16,PayPal,Standard,30.59,2,1.0,1,0.202797666401485
ORD00000058,PROD00000058,USER00000058,2024-05-06,,Medium,129.94,5,,Not Returned,,65,Female,City37,PayPal,Next-Day,12.83,,,0,0.4936893951054333
ORD00000059,PROD00000059,USER00000059,2023-02-13,,Low,16.37,2,,Not Returned,,32,Male,City65,Credit Card,Next-Day,16.08,,,0,1.964569334147831
ORD00000060,PROD00000060,USER00000060,2024-10-26,2024-02-24,High,389.83,4,Wrong item,Returned,-245,40,Female,City44,Gift Card,Express,12.23,4,1.0,1,0.125490598465998
ORD00000061,PROD00000061,USER00000061,2024-11-06,,High,344.6,4,,Not Returned,,28,Female,City80,PayPal,Next-Day,40.95,,,0,0.4753337202553685
ORD00000062,PROD00000062,USER00000062,2023-12-12,,Medium,195.24,5,,Not Returned,,53,Female,City3,Gift Card,Express,16.1,,,0,0.41231305060438433
ORD00000063,PROD00000063,USER00000063,2023-11-21,,High,428.0,1,,Not Returned,,50,Female,City81,Debit Card,Standard,12.39,,,0,0.02894859813084112
ORD00000064,PROD00000064,USER00000064,2024-07-06,2023-03-17,High,429.41,3,Wrong item,Returned,-477,53,Male,City44,Debit Card,Next-Day,13.22,3,1.0,1,0.09235928366828905
ORD00000065,PROD00000065,USER00000065,2023-06-03,2023-09-22,Medium,280.61,2,Defective,Returned,111,32,Male,City92,Debit Card,Express,2.34,2,1.0,1,0.016677951605431025
ORD00000066,PROD00000066,USER00000066,2024-09-08,,Medium,142.71,2,,Not Returned,,60,Female,City75,Debit Card,Next-Day,19.05,,,0,0.26697498423376076
ORD00000067,PROD00000067,USER00000067,2023-11-07,2023-05-30,Medium,227.79,3,Not as described,Returned,-161,70,Female,City31,Gift Card,Next-Day,27.11,3,1.0,1,0.3570393783748189
ORD00000068,PROD00000068,USER00000068,2023-11-13,2024-06-16,High,394.08,3,Wrong item,Returned,216,62,Male,City28,Credit Card,Next-Day,12.27,3,1.0,1,0.0934074299634592
ORD00000069,PROD00000069,USER00000069,2024-06-11,,Medium,266.88,2,,Not Returned,,65,Female,City3,Debit Card,Next-Day,21.32,,,0,0.15977218225419665
ORD00000070,PROD00000070,USER00000070,2024-05-24,2023-06-21,Low,87.17,4,Defective,Returned,-338,46,Female,City50,Gift Card,Express,32.02,4,1.0,1,1.4693128369852015
ORD00000071,PROD00000071,USER00000071,2024-08-21,,High,312.45,4,,Not Returned,,30,Female,City100,PayPal,Next-Day,33.19,,,0,0.42489998399743956
ORD00000072,PROD00000072,USER00000072,2023-03-30,,High,481.58,3,,Not Returned,,39,Male,City97,Debit Card,Next-Day,22.71,,,0,0.14147182191951493
ORD00000073,PROD00000073,USER00000073,2023-07-10,,Medium,283.14,5,,Not Returned,,62,Male,City43,Credit Card,Standard,17.53,,,0,0.30956417320053686
ORD00000074,PROD00000074,USER00000074,2024-02-21,,Low,84.9,5,,Not Returned,,67,Female,City43,Gift Card,Next-Day,46.26,,,0,2.724381625441696
ORD00000075,PROD00000075,USER00000075,2023-05-08,2024-01-19,High,332.39,5,Not as described,Returned,256,36,Male,City53,Debit Card,Next-Day,24.31,5,1.0,1,0.3656848882337014
ORD00000076,PROD00000076,USER00000076,2023-05-30,,Medium,139.6,5,,Not Returned,,34,Male,City24,PayPal,Standard,13.87,,,0,0.4967765042979943
ORD00000077,PROD00000077,USER00000077,2023-04-09,2024-01-21,Medium,185.34,2,Not as described,Returned,287,31,Female,City34,PayPal,Standard,36.01,2,1.0,1,0.38858314449120535
ORD00000078,PROD00000078,USER00000078,2023-05-07,2024-08-10,Low,64.29,2,Not as described,Returned,461,39,Male,City57,Debit Card,Express,47.4,2,1.0,1,1.4745683621091925
ORD00000079,PROD00000079,USER00000079,2024-08-07,,Medium,231.65,5,,Not Returned,,58,Male,City14,Debit Card,Standard,45.83,,,0,0.9892078566803366
ORD00000080,PROD00000080,USER00000080,2023-04-02,,Low,44.48,1,,Not Returned,,50,Male,City8,Debit Card,Express,27.66,,,0,0.6218525179856116
ORD00000081,PROD00000081,USER00000081,2024-03-21,2023-09-13,High,429.47,5,Defective,Returned,-190,39,Male,City10,Gift Card,Standard,44.36,5,1.0,1,0.5164505087666192
ORD00000082,PROD00000082,USER00000082,2023-03-17,2023-08-31,High,496.22,5,Changed mind,Returned,167,67,Male,City36,Gift Card,Next-Day,32.87,5,1.0,1,0.33120390149530443
ORD00000083,PROD00000083,USER00000083,2023-06-08,2024-10-23,Low,52.19,1,Not as described,Returned,503,21,Female,City100,Debit Card,Standard,35.14,1,1.0,1,0.6733090630388964
ORD00000084,PROD00000084,USER00000084,2024-11-18,,High,427.29,3,,Not Returned,,51,Male,City28,PayPal,Standard,46.46,,,0,0.32619532401881624
ORD00000085,PROD00000085,USER00000085,2023-04-13,,Medium,283.68,3,,Not Returned,,49,Male,City95,Credit Card,Next-Day,38.31,,,0,0.4051395939086295
ORD00000086,PROD00000086,USER00000086,2024-03-06,,Medium,255.78,2,,Not Returned,,63,Female,City52,Credit Card,Next-Day,34.49,,,0,0.2696848854484323
ORD00000087,PROD00000087,USER00000087,2023-08-03,,High,478.47,4,,Not Returned,,22,Female,City71,PayPal,Standard,9.06,,,0,0.07574142579472067
ORD00000088,PROD00000088,USER00000088,2023-12-12,2023-09-27,Low,78.94,2,Changed mind,Returned,-76,23,Female,City1,Credit Card,Express,49.94,2,1.0,1,1.2652647580440841
ORD00000089,PROD00000089,USER00000089,2023-07-31,,High,481.66,3,,Not Returned,,28,Male,City4,PayPal,Next-Day,20.8,,,0,0.1295519661171781
ORD00000090,PROD00000090,USER00000090,2024-10-10,,Medium,193.16,3,,Not Returned,,56,Male,City11,PayPal,Express,26.81,,,0,0.41639055705114936
ORD00000091,PROD00000091,USER00000091,2024-12-25,2024-08-11,Low,99.21,1,Not as described,Returned,-136,29,Female,City17,PayPal,Next-Day,30.21,1,1.0,1,0.3045055941941337
ORD00000092,PROD00000092,USER00000092,2023-10-02,2024-02-27,High,394.71,4,Changed mind,Returned,148,66,Female,City25,Gift Card,Next-Day,16.01,4,1.0,1,0.16224569937422414
ORD00000093,PROD00000093,USER00000093,2023-07-29,2024-07-01,Medium,230.9,2,Defective,Returned,338,69,Male,City10,Credit Card,Next-Day,26.62,2,1.0,1,0.23057600692940666
ORD00000094,PROD00000094,USER00000094,2024-04-03,,Medium,296.56,1,,Not Returned,,39,Female,City97,Gift Card,Standard,32.02,,,0,0.10797140544915027
ORD00000095,PROD00000095,USER00000095,2023-02-27,,High,490.55,1,,Not Returned,,62,Male,City10,PayPal,Standard,17.9,,,0,0.03648965446947304
ORD00000096,PROD00000096,USER00000096,2023-06-18,2023-11-08,High,496.31,4,Defective,Returned,143,53,Male,City88,Gift Card,Next-Day,10.15,4,1.0,1,0.08180371139005864
ORD00000097,PROD00000097,USER00000097,2024-12-08,2024-04-15,Medium,104.39,2,Defective,Returned,-237,58,Female,City46,Credit Card,Standard,28.68,2,1.0,1,0.549477919340933
ORD00000098,PROD00000098,USER00000098,2024-02-21,,High,434.25,5,,Not Returned,,18,Female,City83,Gift Card,Express,7.11,,,0,0.08186528497409327
ORD00000099,PROD00000099,USER00000099,2023-12-07,2024-12-30,Low,46.61,1,Wrong item,Returned,389,42,Male,City12,Credit Card,Next-Day,8.9,1,1.0,1,0.1909461488950869
ORD00000100,PROD00000100,USER00000100,2023-10-30,,Medium,284.49,4,,Not Returned,,48,Female,City59,Credit Card,Next-Day,39.82,,,0,0.5598790818657949
ORD00000101,PROD00000101,USER00000101,2024-05-01,2024-08-20,Medium,169.93,5,Wrong item,Returned,111,40,Male,City40,Credit Card,Next-Day,27.73,5,1.0,1,0.8159242040840347
ORD00000102,PROD00000102,USER00000102,2023-09-21,,Medium,146.37,4,,Not Returned,,23,Female,City66,Debit Card,Express,42.55,,,0,1.1628065860490537
ORD00000103,PROD00000103,USER00000103,2024-09-08,,High,444.43,4,,Not Returned,,48,Female,City27,Debit Card,Next-Day,28.53,,,0,0.2567783452962221
ORD00000104,PROD00000104,USER00000104,2023-04-10,2023-10-24,Low,35.16,3,Defective,Returned,197,48,Female,City27,PayPal,Next-Day,3.9,3,1.0,1,0.332764505119454
ORD00000105,PROD00000105,USER00000105,2023-06-12,,Medium,287.93,4,,Not Returned,,66,Female,City14,Debit Card,Standard,3.37,,,0,0.046816934671621575
ORD00000106,PROD00000106,USER00000106,2023-09-03,2023-04-04,High,448.84,2,Changed mind,Returned,-152,60,Male,City20,Gift Card,Express,26.3,2,1.0,1,0.11719098119597185
ORD00000107,PROD00000107,USER00000107,2023-10-09,,Medium,168.68,2,,Not Returned,,48,Male,City22,PayPal,Standard,44.53,,,0,0.527981977709272
ORD00000108,PROD00000108,USER00000108,2024-10-17,,High,466.62,3,,Not Returned,,24,Male,City83,Debit Card,Express,8.36,,,0,0.053748231966053744
ORD00000109,PROD00000109,USER00000109,2024-08-27,,Low,51.56,4,,Not Returned,,37,Male,City95,Credit Card,Express,44.74,,,0,3.4709076803723815
ORD00000110,PROD00000110,USER00000110,2024-05-31,,Low,79.31,1,,Not Returned,,37,Female,City36,Gift Card,Next-Day,29.18,,,0,0.3679233387971252
ORD00000111,PROD00000111,USER00000111,2024-08-03,2023-09-01,High,315.11,5,Defective,Returned,-337,50,Female,City71,PayPal,Express,37.68,5,1.0,1,0.597886452349973
ORD00000112,PROD00000112,USER00000112,2024-05-12,2023-04-06,Medium,259.57,2,Not as described,Returned,-402,55,Female,City90,Credit Card,Next-Day,40.28,2,1.0,1,0.31035944061332205
ORD00000113,PROD00000113,USER00000113,2024-03-10,,Medium,137.72,3,,Not Returned,,45,Male,City8,Debit Card,Standard,1.13,,,0,0.02461516119663084
ORD00000114,PROD00000114,USER00000114,2023-01-07,,High,464.67,4,,Not Returned,,54,Male,City26,Gift Card,Standard,19.21,,,0,0.16536466739836875
ORD00000115,PROD00000115,USER00000115,2024-06-07,2023-06-01,Medium,197.66,4,Not as described,Returned,-372,59,Female,City9,Credit Card,Next-Day,42.31,4,1.0,1,0.8562177476474755
ORD00000116,PROD00000116,USER00000116,2023-09-26,2024-07-15,Low,79.9,4,Defective,Returned,293,42,Female,City73,PayPal,Express,22.19,4,1.0,1,1.1108886107634544
ORD00000117,PROD00000117,USER00000117,2024-02-04,2024-09-17,Medium,265.23,4,Changed mind,Returned,226,57,Male,City89,Credit Card,Next-Day,49.85,4,1.0,1,0.75180032424688
ORD00000118,PROD00000118,USER00000118,2023-12-04,2023-07-01,Low,91.84,2,Not as described,Returned,-156,56,Female,City7,Credit Card,Next-Day,31.58,2,1.0,1,0.6877177700348431
ORD00000119,PROD00000119,USER00000119,2023-04-13,,High,468.62,2,,Not Returned,,31,Male,City27,Gift Card,Next-Day,46.77,,,0,0.1996073577738893
ORD00000120,PROD00000120,USER00000120,2024-08-08,2024-10-13,Medium,245.44,5,Changed mind,Returned,66,29,Female,City34,PayPal,Standard,25.44,5,1.0,1,0.5182529335071708
ORD00000121,PROD00000121,USER00000121,2023-09-06,,Medium,116.2,2,,Not Returned,,37,Male,City69,Gift Card,Next-Day,48.36,,,0,0.8323580034423408
ORD00000122,PROD00000122,USER00000122,2024-06-12,,High,400.21,3,,Not Returned,,69,Female,City20,PayPal,Standard,36.32,,,0,0.27225706504085356
ORD00000123,PROD00000123,USER00000123,2024-07-04,2023-11-02,High,490.8,2,Changed mind,Returned,-245,37,Female,City23,Credit Card,Express,43.37,2,1.0,1,0.1767318663406683
ORD00000124,PROD00000124,USER00000124,2023-03-09,,High,310.14,2,,Not Returned,,54,Male,City65,PayPal,Express,22.6,,,0,0.14574063326239764
ORD00000125,PROD00000125,USER00000125,2024-12-20,,Medium,247.46,2,,Not Returned,,48,Male,City52,Gift Card,Next-Day,19.97,,,0,0.1613998221934858
ORD00000126,PROD00000126,USER00000126,2023-01-14,,Medium,255.71,2,,Not Returned,,57,Male,City76,Credit Card,Standard,7.64,,,0,0.05975519142778929
ORD00000127,PROD00000127,USER00000127,2024-03-03,,Medium,172.02,1,,Not Returned,,46,Female,City11,Credit Card,Next-Day,2.75,,,0,0.015986513196139984
ORD00000128,PROD00000128,USER00000128,2023-12-01,,Medium,170.05,2,,Not Returned,,23,Male,City56,Debit Card,Express,35.55,,,0,0.41811231990590997
ORD00000129,PROD00000129,USER00000129,2024-04-09,,High,314.35,3,,Not Returned,,22,Male,City3,Credit Card,Standard,15.81,,,0,0.15088277397804994
ORD00000130,PROD00000130,USER00000130,2024-02-25,,High,319.34,1,,Not Returned,,54,Male,City76,Gift Card,Next-Day,18.74,,,0,0.05868353479050542
ORD00000131,PROD00000131,USER00000131,2024-05-24,2023-10-10,Medium,219.29,2,Changed mind,Returned,-227,56,Male,City6,Credit Card,Express,32.59,2,1.0,1,0.2972319759222947
ORD00000132,PROD00000132,USER00000132,2023-02-15,2024-09-03,Medium,174.94,1,Defective,Returned,566,62,Female,City48,PayPal,Next-Day,22.43,1,1.0,1,0.1282153881330742
ORD00000133,PROD00000133,USER00000133,2024-03-04,,Low,85.28,2,,Not Returned,,20,Female,City70,Credit Card,Express,1.55,,,0,0.036350844277673544
ORD00000134,PROD00000134,USER00000134,2023-01-25,2023-01-05,Low,18.83,1,Wrong item,Returned,-20,27,Male,City26,Gift Card,Standard,1.57,1,1.0,1,0.08337758895379714
ORD00000135,PROD00000135,USER00000135,2024-05-31,2023-07-16,Medium,291.09,4,Changed mind,Returned,-320,19,Female,City14,Debit Card,Express,8.37,4,1.0,1,0.11501597444089456
ORD00000136,PROD00000136,USER00000136,2023-01-23,2023-06-11,High,386.51,1,Wrong item,Returned,139,27,Male,City50,Credit Card,Standard,10.19,1,1.0,1,0.026364130294170913
ORD00000137,PROD00000137,USER00000137,2024-07-17,2024-01-13,Medium,285.21,4,Not as described,Returned,-186,32,Male,City44,Debit Card,Next-Day,40.21,4,1.0,1,0.563935345885488
ORD00000138,PROD00000138,USER00000138,2023-08-01,,Medium,238.63,2,,Not Returned,,46,Female,City27,Credit Card,Express,20.89,,,0,0.1750827641118049
ORD00000139,PROD00000139,USER00000139,2024-04-09,2023-10-13,Low,16.55,4,Changed mind,Returned,-179,21,Female,City32,Credit Card,Express,22.61,4,1.0,1,5.464652567975831
ORD00000140,PROD00000140,USER00000140,2024-10-09,2023-10-15,Medium,161.94,5,Changed mind,Returned,-360,68,Female,City61,Gift Card,Standard,35.96,5,1.0,1,1.1102877608990984
ORD00000141,PROD00000141,USER00000141,2023-07-29,2024-05-13,Medium,173.42,1,Wrong item,Returned,289,33,Female,City34,Gift Card,Express,26.04,1,1.0,1,0.1501556913850767
ORD00000142,PROD00000142,USER00000142,2023-10-17,,Medium,199.13,4,,Not Returned,,50,Female,City17,Credit Card,Express,4.82,,,0,0.09682117209862905
ORD00000143,PROD00000143,USER00000143,2023-01-01,,Medium,219.56,1,,Not Returned,,24,Female,City11,Debit Card,Standard,1.05,,,0,0.004782291856440153
ORD00000144,PROD00000144,USER00000144,2024-08-03,2024-05-16,Medium,288.71,3,Defective,Returned,-79,60,Male,City57,Credit Card,Express,42.11,3,1.0,1,0.43756710886356553
ORD00000145,PROD00000145,USER00000145,2023-10-10,,Low,66.65,2,,Not Returned,,58,Female,City90,PayPal,Express,38.8,,,0,1.1642910727681919
ORD00000146,PROD00000146,USER00000146,2024-10-12,,High,328.09,3,,Not Returned,,59,Female,City29,Gift Card,Next-Day,8.73,,,0,0.07982565759395288
ORD00000147,PROD00000147,USER00000147,2024-12-18,,Medium,222.62,3,,Not Returned,,53,Female,City79,PayPal,Express,10.03,,,0,0.13516305812595453
ORD00000148,PROD00000148,USER00000148,2024-10-27,,High,404.5,1,,Not Returned,,31,Female,City77,Gift Card,Express,44.89,,,0,0.11097651421508034
ORD00000149,PROD00000149,USER00000149,2024-10-15,,High,438.43,4,,Not Returned,,32,Male,City12,Credit Card,Express,26.75,,,0,0.2440526423830486
ORD00000150,PROD00000150,USER00000150,2024-09-01,2023-02-23,High,402.79,2,Wrong item,Returned,-556,23,Female,City37,PayPal,Next-Day,2.22,2,1.0,1,0.01102311378137491
ORD00000151,PROD00000151,USER00000151,2023-10-01,,Medium,140.06,1,,Not Returned,,42,Male,City40,Gift Card,Next-Day,33.08,,,0,0.23618449236041694
ORD00000152,PROD00000152,USER00000152,2024-07-19,,Medium,255.92,1,,Not Returned,,18,Female,City81,Debit Card,Standard,33.02,,,0,0.1290246952172554
ORD00000153,PROD00000153,USER00000153,2024-10-20,2023-02-06,High,444.83,1,Defective,Returned,-622,20,Female,City2,PayPal,Express,26.84,1,1.0,1,0.06033765708248095
ORD00000154,PROD00000154,USER00000154,2024-08-07,,Low,27.23,3,,Not Returned,,42,Male,City56,Credit Card,Express,49.27,,,0,5.4282041865589425
ORD00000155,PROD00000155,USER00000155,2024-06-27,2023-01-29,High,332.49,4,Changed mind,Returned,-515,66,Female,City43,Credit Card,Express,34.21,4,1.0,1,0.4115612499624049
ORD00000156,PROD00000156,USER00000156,2024-02-01,,High,469.69,5,,Not Returned,,28,Female,City26,Gift Card,Express,22.43,,,0,0.2387745108475803
ORD00000157,PROD00000157,USER00000157,2024-06-26,,Low,31.93,5,,Not Returned,,40,Male,City94,Debit Card,Standard,5.75,,,0,0.9004071406201065
